testingType, system, assimilationMethod, observationInterval, stateError, timeError, RMSE, 
True,L63+time,EAKF,0.5,0.05,0.035,3.1381109485762866,
True,L63+time,EAKF,0.5,0.05,0.036000000000000004,3.144381433747561,
True,L63+time,EAKF,0.5,0.05,0.036000000000000004,3.451065112837816,
True,L63+time,EAKF,0.5,0.05,0.036000000000000004,3.582459372086238,
True,L63+time,EAKF,0.5,0.05,0.037,2.842647249102362,
True,L63+time,EAKF,0.5,0.05,0.037,3.3101136444652304,
True,L63+time,EAKF,0.5,0.05,0.037,3.5044881451837475,
True,L63+time,EAKF,0.5,0.05,0.038,3.251574986917115,
True,L63+time,EAKF,0.5,0.05,0.038,4.047187490178027,
True,L63+time,EAKF,0.5,0.05,0.038,2.883435635152011,
True,L63+time,EAKF,0.5,0.05,0.039,3.5238277058990093,
True,L63+time,EAKF,0.5,0.05,0.039,3.6902808018805007,
True,L63+time,EAKF,0.5,0.05,0.039,3.365490673844292,
True,L63+time,EAKF,0.5,0.05,0.04,3.6850708518654702,
True,L63+time,EAKF,0.5,0.05,0.04,3.709689541183907,
True,L63+time,EAKF,0.5,0.05,0.04,3.532251730924936,
True,L63+time,EAKF,0.5,0.05,0.041,3.5657531715987028,
True,L63+time,EAKF,0.5,0.05,0.041,4.078632689303274,
True,L63+time,EAKF,0.5,0.05,0.041,3.662933314153284,
True,L63+time,EAKF,0.5,0.05,0.042,3.8657210074347157,
True,L63+time,EAKF,0.5,0.05,0.042,4.317921526830959,
True,L63+time,EAKF,0.5,0.05,0.042,3.6339701888127305,
True,L63+time,EAKF,0.5,0.05,0.043000000000000003,4.184973381540602,
True,L63+time,EAKF,0.5,0.05,0.043000000000000003,4.153626398140894,
True,L63+time,EAKF,0.5,0.05,0.043000000000000003,4.366343584647388,
True,L63+time,EAKF,0.5,0.05,0.044,3.5232553264610824,
True,L63+time,EAKF,0.5,0.05,0.044,4.210540237696417,
True,L63+time,EAKF,0.5,0.05,0.044,3.6620379546616295,
True,L63+time,EAKF,0.5,0.05,0.045,4.474204541409646,
True,L63+time,EAKF,0.5,0.05,0.045,3.8014540281438136,
True,L63+time,EAKF,0.5,0.05,0.045,3.617495667243673,
True,L63+time,EAKF,0.5,0.05,0.046,4.622132568172994,
True,L63+time,EAKF,0.5,0.05,0.046,4.261848945229211,
True,L63+time,EAKF,0.5,0.05,0.046,4.366281161766556,
True,L63+time,EAKF,0.5,0.05,0.047,4.188284702978331,
True,L63+time,EAKF,0.5,0.05,0.047,3.8256959053532147,
True,L63+time,EAKF,0.5,0.05,0.047,4.13610538649795,
True,L63+time,EAKF,0.5,0.05,0.048,4.833446603954462,
True,L63+time,EAKF,0.5,0.05,0.048,4.734062519480765,
True,L63+time,EAKF,0.5,0.05,0.048,4.66739628653727,
True,L63+time,EAKF,0.5,0.05,0.049,4.69939072075873,
True,L63+time,EAKF,0.5,0.05,0.049,4.440562764835691,
True,L63+time,EAKF,0.5,0.05,0.049,4.440591756451497,
True,L63+time,EAKF,0.5,0.1,0.0,0.6855493156997365,
True,L63+time,EAKF,0.5,0.1,0.0,0.9517822587148678,
True,L63+time,EAKF,0.5,0.1,0.0,0.7140762334214966,
True,L63+time,EAKF,0.5,0.1,0.001,0.8751644431044581,
True,L63+time,EAKF,0.5,0.1,0.001,0.6775882101516577,
True,L63+time,EAKF,0.5,0.1,0.001,0.79896739260938,
True,L63+time,EAKF,0.5,0.1,0.002,0.9236402953866144,
True,L63+time,EAKF,0.5,0.1,0.002,0.7176032642345347,
True,L63+time,EAKF,0.5,0.1,0.002,0.8067270248485247,
True,L63+time,EAKF,0.5,0.1,0.003,0.9123695899011834,
True,L63+time,EAKF,0.5,0.1,0.003,1.0007243669756765,
True,L63+time,EAKF,0.5,0.1,0.003,0.7813608759442217,
True,L63+time,EAKF,0.5,0.1,0.004,0.8749896492922417,
True,L63+time,EAKF,0.5,0.1,0.004,0.9277835795995416,
True,L63+time,EAKF,0.5,0.1,0.004,1.0003260164049843,
True,L63+time,EAKF,0.5,0.1,0.005,0.936567469734298,
True,L63+time,EAKF,0.5,0.1,0.005,0.8138308716600936,
True,L63+time,EAKF,0.5,0.1,0.005,0.873560034900839,
True,L63+time,EAKF,0.5,0.1,0.006,0.9261056241869551,
True,L63+time,EAKF,0.5,0.1,0.006,1.0938500188683744,
True,L63+time,EAKF,0.5,0.1,0.006,0.9405907623581613,
True,L63+time,EAKF,0.5,0.1,0.007,0.9936548382285416,
True,L63+time,EAKF,0.5,0.1,0.007,1.0175169280245133,
True,L63+time,EAKF,0.5,0.1,0.007,1.0283150188852832,
True,L63+time,EAKF,0.5,0.1,0.008,1.2233672584386421,
True,L63+time,EAKF,0.5,0.1,0.008,1.0265654071983918,
True,L63+time,EAKF,0.5,0.1,0.008,1.1025800576143068,
True,L63+time,EAKF,0.5,0.1,0.009000000000000001,1.0477540906938367,
True,L63+time,EAKF,0.5,0.1,0.009000000000000001,1.0112268557235229,
True,L63+time,EAKF,0.5,0.1,0.009000000000000001,1.1306943382552581,
True,L63+time,EAKF,0.5,0.1,0.01,1.3278194067798963,
True,L63+time,EAKF,0.5,0.1,0.01,1.2169357376875003,
True,L63+time,EAKF,0.5,0.1,0.01,1.3332162380948351,
True,L63+time,EAKF,0.5,0.1,0.011,1.3867596477720066,
True,L63+time,EAKF,0.5,0.1,0.011,1.304689347150631,
True,L63+time,EAKF,0.5,0.1,0.011,1.2712693551132765,
True,L63+time,EAKF,0.5,0.1,0.012,1.3660004022088441,
True,L63+time,EAKF,0.5,0.1,0.012,1.3937929145385421,
True,L63+time,EAKF,0.5,0.1,0.012,1.2101736883149745,
True,L63+time,EAKF,0.5,0.1,0.013000000000000001,1.437743708018896,
True,L63+time,EAKF,0.5,0.1,0.013000000000000001,1.2859522502906422,
True,L63+time,EAKF,0.5,0.1,0.013000000000000001,1.219091724073903,
True,L63+time,EAKF,0.5,0.1,0.014,1.3787481907384729,
True,L63+time,EAKF,0.5,0.1,0.014,1.3795528031822872,
True,L63+time,EAKF,0.5,0.1,0.014,1.4071780296695175,
True,L63+time,EAKF,0.5,0.1,0.015,1.7981203039131204,
True,L63+time,EAKF,0.5,0.1,0.015,1.395629510338931,
True,L63+time,EAKF,0.5,0.1,0.015,2.1474301380604337,
True,L63+time,EAKF,0.5,0.1,0.016,1.7047485626499828,
True,L63+time,EAKF,0.5,0.1,0.016,1.6750321911518282,
True,L63+time,EAKF,0.5,0.1,0.016,1.5458240059192079,
True,L63+time,EAKF,0.5,0.1,0.017,1.7405052057002075,
True,L63+time,EAKF,0.5,0.1,0.017,1.8255595619361789,
True,L63+time,EAKF,0.5,0.1,0.017,2.4263166822043085,
True,L63+time,EAKF,0.5,0.1,0.018000000000000002,1.7850182254924558,
True,L63+time,EAKF,0.5,0.1,0.018000000000000002,1.9790301286927754,
True,L63+time,EAKF,0.5,0.1,0.018000000000000002,2.189015887151479,
True,L63+time,EAKF,0.5,0.1,0.019,1.7004600123566576,
True,L63+time,EAKF,0.5,0.1,0.019,1.9838140735310248,
True,L63+time,EAKF,0.5,0.1,0.019,1.6637276630515165,
True,L63+time,EAKF,0.5,0.1,0.02,1.99214976633687,
True,L63+time,EAKF,0.5,0.1,0.02,1.7323149759529994,
True,L63+time,EAKF,0.5,0.1,0.02,1.9613365083139043,
True,L63+time,EAKF,0.5,0.1,0.021,1.9852784442161298,
True,L63+time,EAKF,0.5,0.1,0.021,1.8924474160487632,
True,L63+time,EAKF,0.5,0.1,0.021,2.453385341938806,
True,L63+time,EAKF,0.5,0.1,0.022,1.8885652835917162,
True,L63+time,EAKF,0.5,0.1,0.022,2.105883309134846,
True,L63+time,EAKF,0.5,0.1,0.022,2.140990066471546,
True,L63+time,EAKF,0.5,0.1,0.023,1.9145293943727817,
True,L63+time,EAKF,0.5,0.1,0.023,2.436439337953926,
True,L63+time,EAKF,0.5,0.1,0.023,2.0258096453527457,
True,L63+time,EAKF,0.5,0.1,0.024,2.092452596971828,
True,L63+time,EAKF,0.5,0.1,0.024,2.9275470735898974,
True,L63+time,EAKF,0.5,0.1,0.024,2.247886714865265,
True,L63+time,EAKF,0.5,0.1,0.025,2.623993423510936,
