testingType, system, assimilationMethod, observationInterval, stateError, timeError, RMSE, 
True,L63+time,RHF,0.5,0.05,0.036000000000000004,3.234180056237424,
True,L63+time,RHF,0.5,0.05,0.036000000000000004,3.433709955680957,
True,L63+time,RHF,0.5,0.05,0.037,3.684128695977687,
True,L63+time,RHF,0.5,0.05,0.037,3.7151148994761742,
True,L63+time,RHF,0.5,0.05,0.037,3.46093743999646,
True,L63+time,RHF,0.5,0.05,0.038,3.3385766094484106,
True,L63+time,RHF,0.5,0.05,0.038,3.524048958078622,
True,L63+time,RHF,0.5,0.05,0.038,3.6563358290157115,
True,L63+time,RHF,0.5,0.05,0.039,3.600332274344719,
True,L63+time,RHF,0.5,0.05,0.039,3.7603743004644423,
True,L63+time,RHF,0.5,0.05,0.039,3.6854309434399477,
True,L63+time,RHF,0.5,0.05,0.04,4.005299338614267,
True,L63+time,RHF,0.5,0.05,0.04,3.686585281919825,
True,L63+time,RHF,0.5,0.05,0.04,3.741885415202065,
True,L63+time,RHF,0.5,0.05,0.041,3.7785102636620156,
True,L63+time,RHF,0.5,0.05,0.041,3.605210992415467,
True,L63+time,RHF,0.5,0.05,0.041,3.8407659461861052,
True,L63+time,RHF,0.5,0.05,0.042,3.8473756613811525,
True,L63+time,RHF,0.5,0.05,0.042,4.028205248608951,
True,L63+time,RHF,0.5,0.05,0.042,4.043798985272884,
True,L63+time,RHF,0.5,0.05,0.043000000000000003,4.003264007405449,
True,L63+time,RHF,0.5,0.05,0.043000000000000003,4.1125685723966106,
True,L63+time,RHF,0.5,0.05,0.043000000000000003,4.081194060001963,
True,L63+time,RHF,0.5,0.05,0.044,4.192704981519086,
True,L63+time,RHF,0.5,0.05,0.044,4.000981752626977,
True,L63+time,RHF,0.5,0.05,0.044,3.977645752041274,
True,L63+time,RHF,0.5,0.05,0.045,4.089538372175819,
True,L63+time,RHF,0.5,0.05,0.045,3.880431718124317,
True,L63+time,RHF,0.5,0.05,0.045,4.31537174357403,
True,L63+time,RHF,0.5,0.05,0.046,4.2369734447940575,
True,L63+time,RHF,0.5,0.05,0.046,4.384598065612724,
True,L63+time,RHF,0.5,0.05,0.046,4.5976801198089685,
True,L63+time,RHF,0.5,0.05,0.047,4.832776639445842,
True,L63+time,RHF,0.5,0.05,0.047,5.00185168493192,
True,L63+time,RHF,0.5,0.05,0.047,4.632664193339495,
True,L63+time,RHF,0.5,0.05,0.048,4.614040404081767,
True,L63+time,RHF,0.5,0.05,0.048,4.2614715543199955,
True,L63+time,RHF,0.5,0.05,0.048,4.5034232573001045,
True,L63+time,RHF,0.5,0.05,0.049,4.328706399549691,
True,L63+time,RHF,0.5,0.05,0.049,4.433250658328454,
True,L63+time,RHF,0.5,0.05,0.049,4.423460049176683,
True,L63+time,RHF,0.5,0.1,0.0,0.731999885466738,
True,L63+time,RHF,0.5,0.1,0.0,0.798033545527241,
True,L63+time,RHF,0.5,0.1,0.0,0.6997687026848357,
True,L63+time,RHF,0.5,0.1,0.001,0.7679245786091154,
True,L63+time,RHF,0.5,0.1,0.001,0.7965009057120475,
True,L63+time,RHF,0.5,0.1,0.001,0.6978466432152076,
True,L63+time,RHF,0.5,0.1,0.002,0.8539449189565793,
True,L63+time,RHF,0.5,0.1,0.002,0.9429875434479768,
True,L63+time,RHF,0.5,0.1,0.002,0.6977264509635077,
True,L63+time,RHF,0.5,0.1,0.003,0.6424983684638091,
True,L63+time,RHF,0.5,0.1,0.003,0.6874974165914468,
True,L63+time,RHF,0.5,0.1,0.003,0.6834328260879564,
True,L63+time,RHF,0.5,0.1,0.004,0.7656335558171835,
True,L63+time,RHF,0.5,0.1,0.004,0.8528157104490927,
True,L63+time,RHF,0.5,0.1,0.004,0.7903384759015378,
True,L63+time,RHF,0.5,0.1,0.005,0.7974997591622933,
True,L63+time,RHF,0.5,0.1,0.005,0.6812239278549126,
True,L63+time,RHF,0.5,0.1,0.005,0.7495637355749722,
True,L63+time,RHF,0.5,0.1,0.006,0.8073355986312295,
True,L63+time,RHF,0.5,0.1,0.006,0.9787094759468086,
True,L63+time,RHF,0.5,0.1,0.006,0.7522951211649762,
True,L63+time,RHF,0.5,0.1,0.007,0.9092569132100206,
True,L63+time,RHF,0.5,0.1,0.007,0.8783479984414022,
True,L63+time,RHF,0.5,0.1,0.007,1.0162715022502304,
True,L63+time,RHF,0.5,0.1,0.008,1.0108470818673931,
True,L63+time,RHF,0.5,0.1,0.008,0.9991269203422246,
True,L63+time,RHF,0.5,0.1,0.008,1.0111779146943427,
True,L63+time,RHF,0.5,0.1,0.009000000000000001,0.9747777266934383,
True,L63+time,RHF,0.5,0.1,0.009000000000000001,1.0905286623039232,
True,L63+time,RHF,0.5,0.1,0.009000000000000001,1.2432190675046737,
True,L63+time,RHF,0.5,0.1,0.01,1.1122620367481646,
True,L63+time,RHF,0.5,0.1,0.01,1.1082953218465446,
