testingType, system, assimilationMethod, observationInterval, stateError, timeError, RMSE, 
True,L63+time,EAKF,0.5,0.1,0.009000000000000001,0.988526751536271,
True,L63+time,EAKF,0.5,0.1,0.01,1.3127302308993447,
True,L63+time,EAKF,0.5,0.1,0.01,1.1180377624203228,
True,L63+time,EAKF,0.5,0.1,0.01,1.242448343828467,
True,L63+time,EAKF,0.5,0.1,0.011,1.2542823127628804,
True,L63+time,EAKF,0.5,0.1,0.011,1.2297455549409317,
True,L63+time,EAKF,0.5,0.1,0.011,1.147237209737055,
True,L63+time,EAKF,0.5,0.1,0.012,1.3121612191038863,
True,L63+time,EAKF,0.5,0.1,0.012,1.3064499473184108,
True,L63+time,EAKF,0.5,0.1,0.012,1.3859780952201697,
True,L63+time,EAKF,0.5,0.1,0.013000000000000001,1.7336236441854034,
True,L63+time,EAKF,0.5,0.1,0.013000000000000001,1.511756448559011,
True,L63+time,EAKF,0.5,0.1,0.013000000000000001,1.3480995336105743,
True,L63+time,EAKF,0.5,0.1,0.014,1.6751424300647224,
True,L63+time,EAKF,0.5,0.1,0.014,1.535562679738017,
True,L63+time,EAKF,0.5,0.1,0.014,1.6926102455102663,
True,L63+time,EAKF,0.5,0.1,0.015,1.8228918149170845,
True,L63+time,EAKF,0.5,0.1,0.015,1.7809082547839572,
True,L63+time,EAKF,0.5,0.1,0.015,1.6664357949235837,
True,L63+time,EAKF,0.5,0.1,0.016,1.8177285347668162,
True,L63+time,EAKF,0.5,0.1,0.016,1.7012760966015779,
True,L63+time,EAKF,0.5,0.1,0.016,1.6627007087446508,
True,L63+time,EAKF,0.5,0.1,0.017,1.9965411266372206,
True,L63+time,EAKF,0.5,0.1,0.017,1.8335171661447514,
True,L63+time,EAKF,0.5,0.1,0.017,2.123442795026124,
True,L63+time,EAKF,0.5,0.1,0.018000000000000002,2.0355525771993204,
True,L63+time,EAKF,0.5,0.1,0.018000000000000002,1.8504901673589718,
True,L63+time,EAKF,0.5,0.1,0.018000000000000002,1.868234046355092,
True,L63+time,EAKF,0.5,0.1,0.019,2.070207177109107,
True,L63+time,EAKF,0.5,0.1,0.019,2.172885865042215,
True,L63+time,EAKF,0.5,0.1,0.019,2.392799670314171,
True,L63+time,EAKF,0.5,0.1,0.02,2.494292810919052,
True,L63+time,EAKF,0.5,0.1,0.02,2.2696508299662326,
True,L63+time,EAKF,0.5,0.1,0.02,2.265371056799965,
True,L63+time,EAKF,0.5,0.1,0.021,2.211883630217724,
True,L63+time,EAKF,0.5,0.1,0.021,2.026653881690892,
True,L63+time,EAKF,0.5,0.1,0.021,3.034721269047035,
True,L63+time,EAKF,0.5,0.1,0.022,2.438050176466248,
True,L63+time,EAKF,0.5,0.1,0.022,1.9919217737674944,
True,L63+time,EAKF,0.5,0.1,0.022,2.238712192970324,
True,L63+time,EAKF,0.5,0.1,0.023,2.4847845525436947,
True,L63+time,EAKF,0.5,0.1,0.023,2.3192746911633044,
True,L63+time,EAKF,0.5,0.1,0.023,2.3370982550942134,
True,L63+time,EAKF,0.5,0.1,0.024,2.292087328783411,
True,L63+time,EAKF,0.5,0.1,0.024,2.246261646611833,
True,L63+time,EAKF,0.5,0.1,0.024,2.643872193796113,
True,L63+time,EAKF,0.5,0.1,0.025,2.5414360187604013,
True,L63+time,EAKF,0.5,0.1,0.025,2.5280140519183516,
True,L63+time,EAKF,0.5,0.1,0.025,2.619772378416189,
True,L63+time,EAKF,0.5,0.1,0.026000000000000002,2.8049983796388296,
True,L63+time,EAKF,0.5,0.1,0.026000000000000002,3.220832808741123,
True,L63+time,EAKF,0.5,0.1,0.026000000000000002,2.493518220628431,
True,L63+time,EAKF,0.5,0.1,0.027,2.644437317941474,
True,L63+time,EAKF,0.5,0.1,0.027,2.6358959859167497,
True,L63+time,EAKF,0.5,0.1,0.027,2.732096714532759,
True,L63+time,EAKF,0.5,0.1,0.028,2.729406595127753,
True,L63+time,EAKF,0.5,0.1,0.028,3.060052577561949,
True,L63+time,EAKF,0.5,0.1,0.028,2.7964274535467104,
True,L63+time,EAKF,0.5,0.1,0.029,2.6017982068668006,
True,L63+time,EAKF,0.5,0.1,0.029,2.8325361047465982,
True,L63+time,EAKF,0.5,0.1,0.029,2.4463079196715065,
True,L63+time,EAKF,0.5,0.1,0.03,2.789633768470291,
True,L63+time,EAKF,0.5,0.1,0.03,2.9366011140667556,
True,L63+time,EAKF,0.5,0.1,0.03,2.7707955171652294,
True,L63+time,EAKF,0.5,0.1,0.031,2.9164151398666416,
True,L63+time,EAKF,0.5,0.1,0.031,3.0825032773362677,
